2008,2009,2010,2011,2012,2013,2014,2015,2016
,6041,8355,10143,11812,16716,19094,17978,14936
,5665,8252,10128,13595,16502,17974,17277,14299
,4961,7481,9502,11027,13171,15130,14282,
,6064,9475,12178,14474,18606,20993,18800,
,5535,8294,11551,14475,18132,20276,17323,
,3528,5509,7087,9323,9749,11595,10939,
2665,3166,5249,6275,7678,8601,9174,9821,
3026,3215,5772,6663,8252,8883,8416,8991,
3721,5250,6965,9718,8049,9719,7554,10870,
7302,10647,12626,15342,22451,23226,23149,22523,
5865,8548,10692,13247,18042,17906,16784,17179,
3631,4341,5750,6180,9515,9942,13133,8554,
